Store_ID,Name,State,City,County_Name,Zip,Address,Interstate_or_Highway,Latitude,Longitude,Parking_Spaces,Diesel_Lanes,Bulk_DEF_Lanes,Unleaded,Midgrade,Premium,Diesel,Biodiesel,Bulk_Propane,CNG,EV_Level2,EV_Level3,EV_Tesla_Level2,EV_Tesla_Level3,Showers,Laundry,Overnight_Parking,Private_Showers,Tire_Care,Dog_Park,RF_Service,Restaurant,ATM,Propane_Tank_Exchange,RV_Dump,Light_Mechanical,All_Major_Credit_Cards,Apple_Pay,Samsung_Pay,Cash_Accepted,EBT_SNAP,Comdata,Fleet_One,ComCheck,Love_Express,Voyager,T-Chek,Debit,Android_Pay,My_Love_Rewards,Loves_Gift Card,NRI_ID,NRI_Value_Composite,NRI_Score_Composite,NRI_Rating_Composite,NRI_State_Percentile_Composite,Population_2020,Building_Value,Agriculture_Value,Area_sq_mi,State_FIPS_Code,County_FIPS_Code,State_County_FIPS_Code,TARGET_FID,OBJECTID,JOIN_FID,Shape_Length,Shape_Area
448,Loves,WA,Tacoma,Pierce,98424,1501 33rd Ave E,I-5 / 136B EB/136 WB,47.245328,-122.384434,160,8,N,3.499,3.849,4.149,4.489,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Godfather's Pizza,Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,N,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C53053,310855534.2,98.727331,Relatively High,97.435897,920483,1.60705E+11,74410285,1823.687184,53,53,53053,1,1,0,1020048.941,9404466028
449,Loves,OR,Troutdale,Multnomah,97060,400 NW Frontage Rd,I-84 / 17,45.543612,-122.391721,96,8,N,3.399,3.749,4.049,3.789,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Chester's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,<Null>,<Null>,<Null>,Y,Y,Y,Y,<Null>,<Null>,<Null>,C41051,305704246.6,98.600064,Relatively High,100,814167,1.62716E+11,85543038,469.866279,41,51,41051,6,6,0,354701.1209,2456172418
538,Loves,CA,Lodi,San Joaquin,95242,15250 North Thornton Rd,I-5 / 485,38.117395,-121.39261,90,8,N,3.899,4.199,4.499,4.599,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06077,216316017.7,97.772829,Relatively High,68.965517,778512,1.39591E+11,2495791679,1441.147561,6,77,6077,34,34,0,419663.5827,5950207368
223,Loves,CA,Ripon ,San Joaquin,95366,1553 Colony Rd.,CA Hwy-99 / 237B,37.755193,-121.14151,95,7,N,3.759,4.059,4.359,4.949,N,Y,N,Y,N,N,N,,N,Y,Y,N,N,Y,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06077,216316017.7,97.772829,Relatively High,68.965517,778512,1.39591E+11,2495791679,1441.147561,6,77,6077,36,36,0,419663.5827,5950207368
807,Loves,CA,Patterson,Stanislaus,95363,55 S Rogers Rd,I-5 / 434/Sperry Ave,37.462921,-121.175756,91,8,N,3.899,4.199,4.499,4.889,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06099,118405366.7,95.800191,Relatively High,53.448276,552683,1.00451E+11,2897698594,1529.197436,6,99,6099,39,39,0,478910.8993,6250518345
898,Loves,CA,Salinas,Monterey,93905,1264 De La Torre,US Hwy-101 / 326A,36.659302,-121.618714,94,9,N,3.999,4.299,4.599,4.389,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06053,263588413.8,98.377346,Relatively High,75.862069,438599,76406937519,4721131468,3809.292638,6,53,6053,42,42,0,810798.528,13210634618
436,Loves,UT,Salt Lake City,Salt Lake,84116,25 N. Redwood Rd.,I-80 / 118,40.769949,-111.939921,78,9,N,2.799,3.099,3.399,3.559,N,N,N,N,N,N,N,,N,Y,Y,N,N,Y,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C49035,348054915.7,98.950048,Relatively High,100,1185141,1.72211E+11,22826241,813.871089,49,35,49035,43,43,0,554043.5259,3319830866
518,Loves,UT,Springville,Utah,84663,358 South 2200 West,I-15 / 260,40.162271,-111.651681,55,8,N,2.879,3.179,3.479,3.639,N,Y,N,N,N,N,N,,N,Y,Y,N,N,Y,"Chester's,McDonald's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C49049,152410711.2,96.818326,Relatively High,96.551724,659138,91160148867,232344858,2165.869591,49,49,49049,51,51,0,633424.6047,9508167726
382,Loves,CA,Tulare,Tulare,93274,2700 S. Blackstone St.,Hwy 99 / 85,36.180909,-119.330122,150,12,N,3.899,4.199,4.499,4.889,N,Y,N,Y,N,N,N,,N,Y,Y,N,Y,Y,"McDonald's,Subway,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,N,Y,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06107,117045494.3,95.768374,Relatively High,51.724138,472585,74473680893,5132532815,4887.12967,6,107,6107,55,55,0,645719.8875,19293351256
230,Loves,CA,Lost Hills,Kern,93249,21948 Highway 46,I-5 / 278,35.616981,-119.65888,75,7,N,4.099,4.399,4.699,4.599,N,Y,N,N,N,N,N,,N,Y,Y,N,Y,Y,"Arby's,Chicken Drumsticks,Salads/Parfaits,Salads/Wraps/Sub-Sandwiches/Parfaits,Sandwiches,Tacos",Y,Y,Y,N,<Null>,<Null>,<Null>,Y,<Null>,Y,<Null>,Y,Y,Y,Y,Y,<Null>,<Null>,<Null>,C06029,348935217.6,99.013681,Relatively High,79.310345,908530,1.46739E+11,4676111605,8247.345138,6,29,6029,62,62,0,861842.4353,31854116825
